Comentario Original;text;Polaridad Manual;Polaridad Obtenida
excelente profesor, excelente capacidad de transmitir sus conocimientos a los alumnos;excelent  excelent capac  transmit susconoc  ;positive;positive
muy buen profesor; buen;positive;positive
excelente profesor, buena manera de impartir clases;excelent  buen maner  impart;positive;positive
buen profesor le hace falta tener paciencia con los alumnos;buen   hac falt  pacienci  ;negative;negative
Le falta mas practica en el oral debido a que dice palabras sin sentido.; falt     oral deb   dic palabr  sent;negative;negative
Muy guapo el profesor; guap ;positive;positive
sin duda un profesor excepcional;    excepcional;positive;positive
Excelente profesor deberiamos tener mas profesores de esta calidad nos ayudaria mucho en nuestro desarrollo profesional.;excelent  deberi      calid nos ayudari   nuestr desarroll profesional;positive;positive
Tiene bastante experiencia e imparte las clases de manera facil y comprendible para todos.;tien    impart    maner facil  comprend ;positive;positive
Excelente profesor además cuenta con bastante experiencia;excelent     ;positive;positive
Pésima profesora, aparte de sus mala forma de enseñar.;pesim  apart   mal form  enseñ;negative;negative
No me gusta la manera de enseñar de la maestra, no existe respeto.;no  gust  maner  enseñ    no exist respet;negative;positive
Considero a la maestra como una persona prepotente, sin la paciencia ni la iniciativa por aclarar las dudas.;consider       prepotent   pacienci ni  inici  aclar ;negative;positive
creo que la maestra se cierra mucho ya que simplemente dice que estamos mal.;cre     cierr    simplement dic   mal;positive;negative
Muy buena maestra, excelentes aportaciones.; buen  excelent aport;positive;positive
Tiene un gran conocimiento en general;tien     general;positive;positive
Muy buen maestra, explica de manera clara todos los contenidos.; buen  explic  maner clar   conten;positive;positive
En general es buen profesor, sabe como controlar al grupo, a diferencia de otros maestros.; general  buen    control    diferent  otros;positive;positive
Muy buen maestro, explica de manera clara los contenidos, evita que las clases sean tediosas ya que explica con buenos ejemplos.; buen  explic  maner clar  conten evit    sean tedi   explic  buen;positive;positive
buenas clases hay mucho material y equipo por parte del docente la clase es muy dinamica y de facil aprendizaje;buen  hay    equip  part          facil;positive;positive
se prepara bien y es clara al momento de explicar; prep bien   clar  moment  explic;positive;positive
EXCELENTE CLASE, MUY ENTRETENIDA;excelent   entreten;positive;positive
en lo persona no me gustaria tomar mas clases con ella.;   no  gustari    ;negative;neutral
Muy buena maestra, agradable y responsable.; buen  agrad  respons;positive;positive
Es un maestra muy buena,considero que su metodologia de tabajo es excelente;    buenaconsider   metodologi  tabaj  excelent;positive;positive
la maestra es alguien que explica muy bien los temas los aterriza a la realidad;   algui  explic  bien    aterriz   realid;positive;positive
CONSIDERO QUE LA MAESTRA REALIZA MUY BIEN SU TRABAJO;consider    realiz  bien ;positive;positive
ELLA CUMPLE CON TODO AL PIE DE LA LETRA.; cumpl    pie   letr;positive;positive
Es una maestra muy eficaz en la forma de explicar las clases;    eficaz   form  explic ;positive;positive
Me gustaría que fuera un poco más comprensiva ya que no todos aprendemos con la misma forma y con la misma rapidez.; gust  fuer    comprens   no  aprend    form     rapidez;negative;positive
muy buena maestra y sus métodos son excelentes.; buen    metod  excelent;positive;positive
La maestra es excelente, ojalá nos pueda seguir dando clases.;   excelent ojal nos pued segu dand;positive;positive
NO LOGRO ENTENDER MUY BIEN ALGUNOS TEMAS Y ME ATRAZO.;no logr entend  bien     atraz;negative;positive
Es buena maestra ya que aclara todas las dudas que se me presentan; buen    aclar tod      present;positive;positive
en lo particular creo que es una de las mejores educadoras que he tenido a lo largo de mi formacion academica.;  particul cre      mejor educ   ten   larg   formacion academ;positive;positive
es muy buena maestra y explica bien pero va muy rapido y pasa los temas muy rapido;  buen   explic bien per   rap  pas    rap;negative;positive
SUS CLASES SON MUY BUENAS, EXPLICA MUY BIEN Y TE ACLARA DUDAS DE MANERA EFICAZ.;    buen explic  bien   aclar   maner eficaz;positive;positive
Considero que es una persona muy preparada.;consider      prepar;positive;positive
Excelente maestra, perfecto dominio del tema y muy buena comunicación con el grupo.;excelent  perfect domini     buen comun  ;positive;positive
EN CIERTOS MOMENTOS DEJA DE EXPLICAR TEMAS Y PLATICA SOBRE SU VIDA PRIVADA.; ciert moment dej  explic   platic   vid priv;negative;negative
Me gustaría que fuera un poco más paciente con cada uno de nosotros, ya que no todos aprendemos de la misma forma.; gust  fuer    pacient     nosotr   no  aprend    form;negative;positive
NO CONTESTA DE UNA BUENA FORMA Y ES MUY IMPACIENTE.;no contest   buen form    impacient;negative;negative
me gusta su ritmo de trabajo.; gust  ritm ;positive;positive
es muy buena maestra y explica de una manera clara;  buen   explic   maner clar;positive;positive
SIN DUDA ME GUSTARÍA QUE EN UN FUTURO ME SIGUIERA DANDO CLASES.;   gust    futur  sigu dand;positive;positive
HAY COSAS EN LAS QUE ME CONFUNDE COMO EXPLICA.;hay      confund  explic;negative;negative
el unico detalle que le encuentro es que a veces se distrae muy facil, y eso provoca que perdamos el enfoque.; unic detall   encuentr    vec  distra  facil   provoc  perd  enfoqu;negative;positive
el detalle es que a veces toma mucha plática con los compañeros y se pierde gran parte de la clase.; detall    vec tom  platic      pierd  part  ;negative;negative
MUY BUENA NOS PONE LOS TEMAS DE LA MANERA MAS SENCILLA Y SE PUDEN COMPRENDER FACILMENTE; buen nos pon     maner  sencill   pud comprend facil;positive;positive
la manera en la cual hemos visto los temas ha sido algo apresurada y no muy bien explicada.; maner    hem vist    sid  apresur  no  bien explic;negative;negative
Considero que le hace falta mas oganizar sus temas y tiempos.;consider   hac falt  oganiz    tiemp;negative;neutral
TIENE UN CARACTER ALGO EXTRAÑO, EN OCACIONES ES BIPOLAR Y SIENTO QUE SOLO SE ENFOCA EN UN SECTOR DEL SALON.;tien  caract  extrañ  ocacion  bipol  sient    enfoc   sector  salon;negative;negative
Solo le recomendaría que se relajara un poco más y que no se desespere.;  recomend   relaj      no  desesper;negative;negative
en veces me confunde con todos los temas que da en una clase; vec  confund      da  ;negative;negative
ME CONFUNDE CON TODOS LOS TÉRMINOS QUE EMPLEA Y NUNCA LLEVA MATERIAL PREPARADO.; confund    termin  emple  nunc llev  prepar;negative;negative
La maestra en lo personal deja mucho que desear, como maestra y además es elitista.;    personal dej   des      elit;negative;positive
Los temas no son congruentes con la materia que imparte en este momento.;  no  congruent     impart   moment;negative;neutral
Al profesor le hace falta carácter.;   hac falt caract;negative;negative
A la maestra como que no se le da muy bien el tema deja mucho que desear.;     no   da  bien   dej   des;negative;negative
es una gran maestra, expresa con claridad los temas a tratar con la ayuda de dinamicas que nos ayudan.;    expres  clarid    trat   ayud  dinam  nos ayud;positive;positive
Muy buena maestra, se expresa muy bien en clase.; buen   expres  bien ;positive;positive
Debe de fomentar mas el respeto en clase.;deb  foment   respet ;negative;positive
Es una exelente maestra, muy linda y hermosa.;  exelent   lind  hermos;positive;positive
Excelente maestra, la mejor que he tenido hasta la fecha y es un amor de persona.;excelent   mejor   ten   fech    amor ;positive;positive
muy buen profesor nos escucha muy bien; buen  nos escuch  bien;positive;positive
El profesor se expresa de buena forma hacia nosotros, cumpliendo con su objetivo de formar un grupo unitario con valores y respeto.;   expres  buen form  nosotr cumpl   objet  form   unitari  valor  respet;positive;positive
Debe de fomentar mas el respeto en clase porque todos los compañeros hablan y ofenden mucho a los demás.;deb  foment   respet       habl  ofend    demas;negative;negative
El profesor nos comprende y hace un espacio para que nos integremos como grupo.;  nos comprend  hac  espaci   nos integr ;positive;positive
MUY BUEN MAESTRO SIGA ADELANTE; buen  sig adel;positive;positive
Es excesivo las burlas entre compañeros y además dominan el salón.; exces  burl     domin  salon;negative;negative
ME HAN GUSTADO MUCHO LAS ACTIVIDADES GRUPALES, HAN CREADO BUEN INTEGRACIÓN GRUPAL.; han gust    grupal han cre buen integr;positive;positive
El profesor es muy apto para la clase que esta dando, explica perfectamente.;    apto      dand explic perfect;positive;positive
SE ENOJA CUANDO LE PREGUNTAMOS Y DEBE DE EXPLICAR UN POCO MAS LENTO.; enoj   pregunt  deb  explic    lent;negative;negative
Algunos problemas deberían explicarse mas a detalle.;  deb explic   detall;negative;negative
QUE EXPLIQUE ALGUNAS COSAS MAS A DETALLE.; expliqu     detall;negative;positive
La maestra es muy clara con los objetivos, las dudas que tenemos las aclara al instante sin molestia alguna.;    clar   objet      aclar  instant  molesti;positive;negative
MUY BUENA MAESTRA SOLO SE DESESPERA UN POQUITO; buen    desesper ;negative;negative
Es genial el profesor espero tenerlo siempre de maestro sus clases, muy divertidas y si desorden.; genial   esper ten siempr      divert  si desord;positive;positive
El profesor tiene buena forma de enseñanza, deja que nosotros como alumnos nos expresemos.;  tien buen form  enseñ dej  nosotr   nos expres;positive;positive
Se enoja facilmente y ya cuando te tiene fichado aunque no hagas nada te regaña; enoj facil     tien fich aunqu no hag   regañ;negative;negative
Las evaluaciones deberían ser mas justas y menos elitistas.;  deb   just   elit;negative;positive
SIN PALABRAS MUY BUEN PROFESOR; palabr  buen;positive;positive
su clase es interesante ya que nos ayuda a ser mejores con nuestros trabajos, permitiendonos diseñar proyectos.;   interes   nos ayud   mejor  nuestr trabaj permit diseñ proyect;positive;positive
El profesor imparte de manera correcta la clase, forjandonos objetivos.;  impart  maner correct   forj objet;positive;negative
Excelente Tutora y amiga.;excelent tutor  amig;positive;positive
Me esta ayudando sobre un problema de ansiedad, por eso estoy muy agradecido y me demuestra su apoyo al problema de los demás.;  ayud   problem  ansied     agradec   demuestr  apoy  problem   demas;positive;positive
Buena maestra hace actividades llamativas;buen  hac  llamat;positive;positive
preferiria que fuese otro maestro quien me diera la clase.;preferiri  fues   qui  dier ;negative;positive
Sin duda es una maestra que hace honor a su título, su manera de impartir la materia es perfecta.;      hac honor   titul  maner  impart    perfect;positive;positive
Dar un poco los temas de forma mas metodica.;dar      form  metod;negative;positive
Sin duda tomaria otro curso impartido por el.;  tomari   impart ;positive;positive
solo que necesita un poco mas de atencion y memoria.;  necesit     atencion  memori;negative;negative
No respeta las ponderaciones que inicialmente se habian acordado en clase.;no respet  ponder  inicial  habi acord ;negative;neutral
Inicialmente el profesor nos menciono fechas para evaluaciones las cuales hoy en dia no respeta.;inicial   nos menciono fech     hoy  dia no respet;negative;neutral
Falta dar teoria, ir paso a paso, sin brincarnos nada;falt dar teori  pas  pas  brinc;negative;negative
Su manera de explicar es muy sencilla y entendible, aprendo mucho en clase; maner  explic   sencill  entend aprend  ;positive;positive
Es una Maestra muy Formal y Respetuosa.;    formal  respetu;positive;positive
Sus clases son muy dificiles, usa un vocabulario muy complejo , que no logro comprender.;    dificil usa  vocabulari  complej   no logr comprend;negative;negative
en sus clases no me siento muy cómodo.;   no  sient  comod;negative;negative
sus temas son muy estructurados y su clase objetiva;    estructur    objet;positive;negative
Buen profesor llama la atencion hacia sus clases;buen  llam  atencion  ;positive;positive
Considero que su desempeño en clase es aprobatorio además de tener una muy buena comunicación con el grupo.;consider   desempeñ    aprobatori      buen comun  ;positive;positive
Me encanta su forma de dar clases y que tiene una excelente manera de enseñar y dejar ver sus conocimientos. Excelente; encant  form  dar    tien  excelent maner  enseñ   ver susconoc excelent;positive;positive
Se me hace muy dinamica su clase, divertida y una de las mejores;  hac     divert     mejor;positive;positive
Muy buen profesor de ingles, explica demasiado bien y ayuda a los que no comprendemos, el mejor si duda.; buen    explic  bien  ayud    no comprend  mejor si;positive;positive
Es un placer que el sea mi profesor.;  plac   sea ;positive;positive
Falta un poco mas de explicación y cordinar sus clases.;falt     explic  cordin ;negative;negative
a veces me siento confundido con su manera de explicar; vec  sient confund   maner  explic;negative;negative
CLASES MUY GRUPALES DONDE TODOS LOGRAN CONVIVIR.;  grupal   logr conviv;positive;positive
Tiene una forma correcta de dar sus sesiones.;tien  form correct  dar  sesion;positive;positive
Muy buen profesor, clases divertidas y aprendemos bien.; buen   divert  aprend bien;positive;positive
TIENE MUCHA INTERACCION CON EL GRUPO;tien  interaccion  ;positive;positive
SE CONVIVE POCO CON EL TUTOR, ESPERO QUE MAS DELANTE TENGA MAS CONTACTO CON NOSOTROS; conviv    tutor esper   delant teng  contact  nosotr;negative;positive
MIS RESPETOS QUE GRANDES CONSEJOS Y GRAN COLABORACION MIS REPETOS QUE GRAN PROFESOR; respet  grand consej   colaboracion  repet  ;positive;positive
es buen maestro su forma de enseñar es efectiva; buen   form  enseñ  efect;positive;positive
APRENDES MUY BIEN EN SUS CLASES Y ES UNA CLASE MUY SERIA.;aprend  bien         seri;positive;positive
QUE SUS CLASES SEAN MAS DIDACTICAS Y UN POCO MAS ENTUSIASTAS;   sean  didact     entusiast;negative;positive
es muy buena maestra solo que es muy estricta y no muy paciente se enoja demasiado.;  buen      estrict  no  pacient  enoj;negative;negative
sinceramente mis respetos para mi maestra que gran profesora admiro su sabiduría.;sincer  respet       admir  sabidur;positive;positive
NO ME GUSTA LA ACTITUD DE LA MAESTRA EN LOS EXAMENES;no  gust  actitud      examen;negative;neutral
Tiene una buena técnica de enseñanza.;tien  buen tecnic  enseñ;positive;positive
la maestra lo único que necesita es control con los alumnos en caso de alboroto;   unic  necesit  control     cas  alborot;negative;positive
Es una buena maestra y es una muy buena persona.;  buen      buen;positive;positive
Un gran maestro que con sus conocimientos nos ha apoyado mucho y que sus conocimientos nos ayudaran tambien a futuro.;     susconoc nos  apoy    susconoc nos ayud tambi  futur;positive;positive
Es un maestro que imparte las clases de una manera muy didáctica. Excelente.;    impart     maner  didact excelent;positive;positive
Tiene mucho por impartir, sin organización y es muy flojo.;tien   impart  organiz    floj;negative;positive
ES MUY ABURRIDO Y TEDIOSO EL CONTENIDO DE LA MATERIA;  aburr  tedios  conten  ;negative;negative
Un gran profesor me orienta y me inspira a seguir mi carrera.;    orient   inspir  segu  carrer;positive;positive
Maneja buena dinámica dentro del grupo, lo cual propicia clases agradables y por ende aprendemos mejor.;manej buen       propici  agrad   ende aprend mejor;positive;positive
Hace falta poner mas en practica lo aprendido.;hac falt pon     aprend;negative;neutral
nos a dado mucho apoyo tanto grupal como individual.;nos  dad  apoy    individual;positive;positive
Es ineficiente su manera de trabajar; ineficient  maner  trabaj;negative;neutral
Malgasta demasiado tiempo revisando tareas;malgast   revis tar;negative;positive
Quisiera que fuera más coherente en lo que dice;quis  fuer  coherent    dic;negative;positive
Me gusta que nos deje opinar en todas las clases pero no me gusta que sea rígido; gust  nos dej opin  tod   per no  gust  sea rig;negative;negative
Quisiera que brindara más asesorías por que estando tantas personas en el salón nos confunde con todos los comentarios en clases;quis  brind  asesor   estand     salon nos confund     ;negative;positive
No funciona su manera de trabajar, es demasiado estricto y nada accesible;no funcion  maner  trabaj   estrict   acces;negative;negative
Son un poco locas sus clases pero interesantes y de alguna manera siempre aprendemos de manera uniforme;   loc   per interes    maner siempr aprend  maner uniform;positive;positive
Desearía que el profesor tuviera más confianza en sí mismo, es muy dudoso en lo que dice;des    tuv  confianz  si mism   dudos    dic;negative;positive
Gracias a los trabajos en equipo él se asegura de que aprendemos todos y está en constante supervisión de que estemos trabajando;graci   trabaj  equip   asegur   aprend   esta  constant supervision   estem trabaj;positive;positive
Su obsesión en los trabajos realmente funciona para que nosotros aprendamos; obsesion   trabaj realment funcion   nosotr aprend;positive;positive
Es muy monótono en las clases, esto hace que perdamos el interés por aprender;  monoton    esto hac  perd  interes  aprend;negative;negative
Llega tarde más sin embargo es muy buen profesor;lleg tard   embarg   buen;positive;negative
Sus clases son muy tediosas.;    tedi;negative;negative
No utiliza instrumentos de aprendizaje;no utiliz  ;negative;negative
No enseña la materia de manera continua;no enseñ    maner continu;negative;negative
No entrega listas de cotejo para evaluaciones;no entreg list  cotej ;negative;positive
No entrega calificaciones rápido y siempre nos trae pretextos;no entreg  rap  siempr nos tra pretext;negative;negative
No gestiona bien sus clases y perdemos mucho tiempo;no gestion bien    perd ;negative;negative
No se apega al cronograma y no terminamos las unidades a tiempo;no  apeg    no termin  unidad ;negative;negative
Nos retrasamos mucho en la unidad siempre porque él no llega a clases;nos retras    unid siempr   no lleg ;negative;negative
Si faltamos a clases no nos perdemos de nada;si falt   no nos perd ;negative;negative
Quisiera que fuera más flexible con respeto a las fechas de exámenes;quis  fuer  flexibl  respet   fech  examen;negative;positive
No explica bien las clases y deja trabajos que no se relacionan mucho a la materia;no explic bien    dej trabaj  no  relacion   ;negative;negative
Es difícil entenderle ya que habla muy despacio.; dificil entend   habl  despaci;negative;negative
No tiene un tono de voz conveniente como para estar en frente de la clase;no tien  tono  voz convenient     frent  ;negative;negative
hacemos exámenes en todas las clases no se vale; examen  tod   no  val;negative;negative
No explica nada y solo quiere que estemos realizando tareas por nuestra cuenta;no explic    quier  estem realiz tar  ;negative;negative
Falta demasiado a clases y ni se cómo se llama pero trabajamos bien;falt     ni  com  llam per  bien;negative;negative
Está muy apegado al reglamento escolar lo cual es bueno;esta  apeg  reglament escol    buen;positive;positive
Sus propuestas de aprendizaje en la aplicación de los temas es muy buena; propuest     aplic      buen;positive;positive
Las tecnologías que utiliza para la aplicación del aprendizaje en la escuela son bastante buenas; tecnolog  utiliz   aplic     escuel   buen;positive;positive
Las evaluaciones se limitan mucho a lo que vemos en las clases lo cual me gusta;   limit     vem       gust;positive;positive
Desarrollamos aplicaciones tecnológicas de sistemas de cómputo y esta increíble;desarroll aplic tecnolog  sistem  comput   increibl;positive;neutral
Evaluamos las funcionalidades de los sistemas de cómputo y eso nos trae grandes beneficios;evalu  funcional   sistem  comput   nos tra grand benefici;positive;positive
Implementamos en sus clases mucho las tecnologías disponibles para nuestro aprendizaje;implement      tecnolog dispon  nuestr;positive;positive
Desarrollamos instrumentos de aprendizaje lo cual nos facilita el aprendizaje;desarroll      nos facilit ;positive;positive
El profesor analiza las problemáticas con base en una metodología y eso es bueno;  analiz  problemat  bas   metodolog    buen;positive;negative
El desarrollo del modelo de aprendizaje del profesor ayuda bastante en la aplicación de la materia; desarroll  model     ayud    aplic  ;positive;positive
El profesor evalúa a los estudiantes de manera individual y en equipo lo cual nos gusta mucho;  evalu   estudi  maner individual   equip   nos gust;positive;positive
Se adapta mucho a la tecnología disponible para nuestro aprendizaje; adapt    tecnolog dispon  nuestr;positive;positive
Analiza la funcionalidad del sistema escolar y se adapta a este;analiz  funcional  sistem escol   adapt ;positive;positive
Trae soluciones y evaluaciones de la materia constantemente y nos obliga a aprender con esto;tra solucion      constant  nos oblig  aprend  esto;positive;positive
Implementa las modificaciones con respecto a las retroalimentaciones otorgadas por los alumnos;implement  modif  respect   retroaliment otorg  ;positive;positive
Hace disponible el cronograma de la materia a todo el grupo.;hac dispon        ;positive;positive
Propone soluciones a los problemas que se van dando dentro de sus clases y revisa recuperar horas cuando tiene que faltar;propon solucion      van dand      revis recuper hor  tien  falt;positive;negative
Evalúa nuestro desempeño con exposiciones constantes del proyecto;evalu nuestr desempeñ  exposicion constant  proyect;positive;positive
Otorga retroalimentación de los exámenes en tiempo y forma;otorg retroaliment   examen    form;positive;positive
Nos ayuda constantemente si hay dudas y está dispuesta a dar asesorías;nos ayud constant si hay   esta dispuest  dar asesor;positive;positive
Es muy particular las asesorías que da y se asegura de que entendemos para resolver los problemas que nos da;  particul  asesor  da   asegur   entend  resolv    nos da;positive;positive
Es muy seguro en la manera en que da clases y resuelve las dudas de manera correcta;  segur   maner   da   resuelv    maner correct;positive;positive
Siempre nos trata de poner prácticas para mejorar nuestro aprendizaje;siempr nos trat  pon practic  mejor nuestr;positive;positive
Es alto el nivel de aprendizaje que he obtenido en esta materia gracias a las investigaciones que he realizado; alto  nivel     obten    graci   investig   realiz;positive;positive
Su manera de enseñar es algo anticuada, no utiliza herramientas multimedia.; maner  enseñ   anticu no utiliz herramient multimedi;negative;negative
La clase no es lo que esperaba, hay mucho relajo con ese profesor;  no    esper hay  relaj  ese;negative;negative
Habla con muchas groserías;habl   gros;negative;positive
La clase es sencilla pero el profesor la vuelve difícil con demasiadas actividades tediosas;   sencill per    vuelv dificil  demasi  tedi;negative;negative
Estamos viendo en la clase muy poco contenido, avanzamos lento; viend      conten avanz lent;negative;positive
Los materiales utilizados en la materia son abstractos y no contienen información relevante;  utiliz     abstract  no contien inform relev;negative;neutral
No considero que sea suficiente la importancia que le da el profesor a la materia;no consider  sea   import   da    ;negative;neutral
Para ser profesor da muy mala impresión y aparte no se dirige con respeto a los compañeros;   da  mal impresion  apart no  dirig  respet  ;negative;negative
Es muy simpático el profesor pero hay mucha preferencia en cuanto a los alumnos;  simpat   per hay  preferent    ;negative;negative
Las clases son agotadoras, son demasiadas cosas por hacer y no me da tiempo de procesar la información;   agot  demasi     no  da   proces  inform;negative;negative
El profesor no ha dejado claro el contenido a revisar en la materia;  no  dej clar  conten  revis  ;negative;negative
El profesor no da listas de cotejo en las presentaciones que son para la evaluación de unidades.;  no da list  cotej        evalu  unidad;negative;neutral
La clase se lleva a cabo muy lento y por eso nos estamos retrasando en la finalización de unidades.;   llev  cab  lent    nos  retras   finaliz  unidad;negative;negative
Ya llevamos un mes sin terminar una unidad y no ha dicho nada sobre la evaluación; llev  mes  termin  unid  no  dich    evalu;negative;neutral
La maestra es bastante cruel en los exámenes;    cruel   examen;negative;negative
Las clases son imposibles de entender y tomar notas.;   impos  entend   not;negative;positive
El profesor no llega temprano a clases y eso nos perjudica porque nos estamos atrasando;  no lleg temprano     nos perjud  nos  atras;negative;negative
Sus clases me enferman;   enferm;negative;negative
No llega temprano y no da buenos ejemplos.;no lleg temprano  no da buen;negative;negative
No me gusta su forma de evaluar los exámenes;no  gust  form  evalu  examen;negative;neutral
Nunca llega a tiempo;nunc lleg ;negative;negative
Es incumplido; incumpl;negative;negative
No parece tener lo suficiente para ser docente;no parec     ;negative;negative
Necesita usar métodos más actualizados;necesit  metod  actualiz;negative;negative
Tiene buen método pedagógico.;tien buen metod pedagog;positive;positive
No prepara sus clases;no prep ;negative;negative
No controla al grupo;no control ;negative;negative
No aclara dudas ni da retroalimentación;no aclar  ni da retroaliment;negative;positive
Casi no asiste a clases y no me gusta su forma de evaluar;casi no asist    no  gust  form  evalu;negative;positive
No parece ser un buen maestro y no sabe dar clases;no parec   buen   no  dar;negative;negative
Tiene muchas preferencias con algunos alumnos;tien  preferent  ;negative;negative
No me gusta cómo evalúa;no  gust com evalu;negative;neutral
Tiene preferencias por algunos alumnos;tien preferent  ;negative;negative
Hay preferencias por alumnos;hay preferent ;negative;negative
No practicamos lo aprendido en clase;no practic  aprend ;negative;positive
No me gusta su forma de impartir clases;no  gust  form  impart;negative;positive
Evalúa con preferencias a alumnos;evalu  preferent ;negative;negative
Sabe mucho sobre la materia;   ;positive;positive
Se enoja muy fácilmente; enoj  facil;negative;neutral
Combina temas y confunde a los alumnos;combin   confund  ;negative;negative
Evalúa de forma injusta a las calificaciones obtenidas;evalu  form injust    obten;negative;negative
Es relajada y nos comprende; relaj  nos comprend;positive;positive
Tiene preferencias por alumnos;tien preferent ;negative;negative
No imparte clases adecuadamente;no impart  adecu;negative;positive
Es relajada y buena onda; relaj  buen onda;positive;positive
no da clases;no da;negative;negative
Esta maestra es muy estricta lo que nos hace mejores alumnos;    estrict   nos hac mejor;positive;negative
Considero que la maestra debe mejorar su pronunciación;consider    deb mejor  pronunci;negative;positive
Conoce y domina los temas;conoc  domin ;positive;positive
Sus clases no son dinámicas;  no  dinam;negative;negative
No se enfoca en los temas de la clase;no  enfoc     ;negative;negative
La ambigüedad de las clases es mucha; ambigüed    ;negative;positive
No pasa lista al inicio de la clase;no pas list  inici  ;negative;neutral
El material de trabajo que utiliza es poco;     utiliz ;negative;positive
En las clases aplica casos de la vida laboral;   aplic cas   vid laboral;positive;positive
Hay conceptos de las clases que no sabe;hay concept     no;negative;negative
La habilidad para explicar es deficiente; habil  explic  deficient;negative;positive
Sus clases son dinámicas;   dinam;positive;positive
Siempre hacemos videos para que nos evalue;siempr  vide   nos evalu;negative;positive
El profesor es puntual siempre;   puntual siempr;positive;positive
Además de su puntualidad el profesor es tolerante;   puntual    toler;positive;positive
No respeta el tiempo limite de clase;no respet   limit ;negative;negative
No domina algunos temas de los que se está hablando;no domin       esta habl;negative;neutral
El profe tiene mala actitud y no es dinámico;  tien mal actitud  no  dinam;negative;negative
La profesora prepara sus clases y eso aumenta el control del grupo;  prep     aument  control ;positive;positive
La materia es aburrida pero el profesor la hace divertida;   aburr per    hac divert;positive;neutral
Creo que si el profe mejorara en sus explicaciones obtendriamos mejores resultados;cre  si   mejor   explic obtendri mejor result;negative;positive
Los horarios que maneja son puntuales y nunca sobra ni falta tiempo;   manej  puntual  nunc sobr ni falt;positive;negative
Las rúbricas que utiliza para la evaluación de nuestros trabajos no es del todo correcta; rubric  utiliz   evalu  nuestr trabaj no    correct;negative;positive
Aveces no lo entiendo;avec no  entiend;negative;neutral
La paciencia de la maestra es muy buena; pacienci      buen;positive;positive
No es congruente lo que dice y lo que hace;no  congruent   dic    hac;negative;negative
No es tolerante;no  toler;negative;neutral
No provoca que el grupo tenga interes por la materia y los temas;no provoc    teng inter     ;negative;neutral
Deberíamos ver más teoría;deb ver  teor;positive;negative
No liga la materia con la carrera;no lig     carrer;negative;negative
Es impuntual; impuntual;negative;positive
Es irrespetuoso con los compañeros; irrespetu  ;negative;negative
Las actividades no tienen nada que ver con la materia;  no    ver  ;negative;negative
La profundidad del tema no es la suficiente para entenderlo; profund   no     entend;negative;neutral
Es muy organizado con la clase;  organiz  ;positive;positive
La clase es tediosa cuando el profe no prepara la clase;   tedios    no prep ;negative;negative
Adecuado en el manejo de la voz;adecu   manej   voz;positive;positive
El profesor debería ser tolerante y paciente;  deb  toler  pacient;negative;neutral
No da tolerancia al llegar;no da toler  lleg;negative;neutral
La monotonía de sus clases llegarán a aburrirme pronto; monoton    lleg  aburr pront;negative;negative
Involucra muchos ejemplos durante la clase, lo que hace que entienda más rápido y no se me olvide;involucr   durant     hac  entiend  rap  no   olvid;positive;negative
Debería haber más actividades en la clase;deb hab    ;negative;negative
Algunas de las actividades que realizamos en clase son muy tediosas y no hay un control del grupo;     realiz     tedi  no hay  control ;negative;negative
La maestra tiene disposición para sesolver problemas extras para que el tema quede más entendido;  tien disposicion  sesolv  extras     qued  entend;positive;positive
El conocimiento se fortalece más con está clase;   fortalec   esta;positive;positive
La maestra no conoce el tema;  no conoc ;negative;neutral
No trae el material;no tra ;negative;negative
No habla bien de la escuela;no habl bien   escuel;negative;negative
Nunca trae el tema preparado completamente;nunc tra   prepar complet;negative;negative
La actitud que toma es muy irrespetuosa; actitud  tom   irrespetu;negative;negative
Me enoja que la masetra no haga la clase dinamica; enoj   masetr no hag  ;negative;negative
El profesor siempre nos escucha;  siempr nos escuch;positive;positive
Es poco accesible al momento de atender nuestras dudas fuera de clase;  acces  moment  atend nuestr  fuer ;negative;positive
El profesor no capta la atención del grupo;  no capt  atencion ;negative;negative
Nunca hacemos ejercicios para prácticar y en el examen son puros ejercicios;nunc  ejercici  practic    exam  pur ejercici;negative;neutral
Me parece que dispersa mucho el tema; parec  dispers  ;negative;positive
El maestro tiene muchas muletillas;  tien  muletill;negative;positive
Le falta aumentar el tono de su voz; falt aument  tono   voz;negative;negative
Siempre llega 20 min tarde;siempr lleg  min tard;negative;negative
Sabe explicar pero se sale del tema siempre; explic per  sal   siempr;negative;positive
Es imparcial; imparcial;positive;negative
Califica a través de instrumentos representativos que nos permiten aumentar nuestra excelencia;calif  traves   represent  nos permit aument  excelent;positive;positive
El profesor es muy puntual;    puntual;positive;positive
Tiene mucha experiencia y gran conocimiento de la materia;tien       ;positive;positive
Es un poco dificil de entender porque explica a su manera;   dificil  entend  explic   maner;negative;neutral
No deja que encuentres otros metodos;no dej  encuentr otros;negative;negative
Se preocupa mucho por el nivel educativo del grupo; preocup    nivel educ ;positive;positive
Su responsabilidad nos permite alcanzar los objetivos del curso; respons nos permit alcanz  objet ;positive;negative
El profesor es irresponsable;   irrespons;negative;negative
No llega a tiempo;no lleg ;negative;negative
Nunca entrega las calificaciones a tiempo;nunc entreg   ;negative;neutral
Es bueno explicando; buen explic;positive;positive
